sfs_code,structure,closure_date,latitude,longitude,status_category,verified_2018,last_verified
SFS_005,SFS,2015,-25.96363056,27.83385556,Active,Y,2018
SFS_007,SFS,NA,-24.08077,30.57066,Active,Y,2018
SFS_009,SFS,NA,-30.71666667,27.7,Active,Y,2018
SFS_011,SFS,NA,-30.1660931,29.2392922,Active,Y,2018
SFS_014,SFS,NA,-24.63866111,27.39742222,Active,Y,2018
SFS_017,SFS,NA,-29.007382,29.42333,Active,Y,2018
SFS_021,SFS,NA,-22.97911111,29.10072222,Active,Y,2018
SFS_023,SFS,NA,-32.4934,27.104,Active,Y,2018
SFS_028,SFS,NA,-27.75443056,29.44591111,Active,Y,2018
SFS_040,SFS,NA,-29.34920278,29.75585556,Active,Y,2018
SFS_042,SFS,NA,-23.41882778,27.43189167,Active,Y,2018
SFS_046,SFS,NA,-28.962675,29.235722,Active,Y,2018
SFS_049,SFS,NA,-29.47499167,29.80659167,Active,Y,2018
SFS_054,SFS,NA,-29.3579405,29.9081034,Active,Y,2018
SFS_056,SFS,NA,-26.155847,25.267941,Active,Y,2018
SFS_057,SFS,NA,-24.95931389,28.43796944,Active,Y,2018
SFS_058,SFS,NA,-28.28898,22.415758,Active,Y,2018
SFS_062,SFS,NA,-24.679275,28.020704,Active,Y,2018
SFS_063,SFS,NA,-20.0093,29.577,Active,Y,2018
SFS_064,SFS,NA,-19.7095,28.3798,Active,Y,2018
SFS_067,SFS,NA,-29.68880556,29.47722222,Active,Y,2018
SFS_069,SFS,NA,-29.672929,29.525077,Active,Y,2018
SFS_074,SFS,NA,-28.65916667,24.80241667,Active,Y,2018
SFS_076,SFS,NA,-27.35281667,31.84457778,Active,Y,2018
SFS_078,SFS,NA,-31.35,27.83333333,Active,Y,2018
SFS_080,SFS,NA,-28.45800278,29.07633056,Active,Y,2018
SFS_081,SFS,NA,-30.48333333,29.54638889,Active,Y,2018
SFS_082,SFS,NA,-32.69139,27.61091,Active,Y,2018
SFS_084,SFS,NA,-24.22461,28.74197,Active,Y,2018
SFS_089,SFS,NA,-34.36802778,20.51011111,Active,Y,2018
SFS_090,SFS,2013,-26.71335,22.80713,Active,Y,2018
SFS_091,SFS,NA,-23.850337,27.05107,Active,Y,2018
SFS_092,SFS,NA,-23.53306,27.24833,Active,Y,2018
SFS_098,SFS,NA,-30.59827778,29.38208333,Active,Y,2018
SFS_099,SFS,NA,-28.51311944,28.65463056,Active,Y,2018
SFS_102,SFS,NA,-25.88111,27.4067,Active,Y,2018
SFS_108,SFS,NA,-25.882269,22.919913,Active,Y,2018
SFS_110,SFS,NA,-19.088411,17.223516,Active,Y,2018
SFS_111,SFS,NA,-24.73193056,30.46231667,Active,Y,2018
SFS_116,SFS,NA,-29.67891667,29.53056111,Active,Y,2018
SFS_120,SFS,NA,-30.47196944,29.39616667,Active,Y,2018
SFS_121,SFS,NA,-29.84811111,29.36147222,Active,Y,2018
SFS_122,SFS,NA,-29.783527,29.457383,Active,Y,2018
SFS_123,SFS,NA,-24.51301667,31.04628333,Active,Y,2018
SFS_124,SFS,NA,-24.05494444,29.2995,Active,Y,2018
SFS_127,SFS,NA,-23.91555556,29.32216667,Active,Y,2018
SFS_129,SFS,NA,-27.901467,32.271328,Active,Y,2018
SFS_135,SFS,NA,-25.97250833,31.72163611,Active,Y,2018
SFS_137,SFS,NA,-25.74333333,27.73194444,Active,Y,2018
SFS_141,SFS,NA,-26.77861111,20.61916667,Active,Y,2018
SFS_143,SFS,NA,-27.40874167,31.83649167,Active,Y,2018
SFS_144,SFS,NA,-30.83277778,27.24586111,Active,Y,2018
SFS_147,SFS,NA,-29.75813889,29.584475,Active,Y,2018
SFS_151,SFS,NA,-28.52702778,29.666,Active,Y,2018
SFS_156,SFS,NA,-28.80694444,29.59694444,Active,Y,2018
SFS_158,SFS,NA,-25.65352778,25.99946667,Active,Y,2018
SFS_165,SFS,NA,-30.696776,30.175402,Active,Y,2018
SFS_166,SFS,NA,-30.74725278,27.36169722,Active,Y,2018
SFS_167,SFS,NA,-29.22213889,29.55558333,Active,Y,2018
SFS_168,SFS,NA,-31.833333,26.833333,Active,Y,2018
SFS_172,SFS,NA,-26.075119,26.157397,Active,Y,2018
SFS_174,SFS,NA,-22.42277778,17.02888889,Active,Y,2018
SFS_175,SFS,NA,-25.4314141,26.6790636,Active,Y,2018
SFS_176,SFS,NA,-30.46847222,29.49536111,Active,Y,2018
SFS_178,SFS,NA,-24.99666667,30.40333333,Active,Y,2018
SFS_179,SFS,NA,-24.7,27.86667,Active,Y,2018
SFS_182,SFS,NA,-27.49758333,31.68330556,Active,Y,2018
SFS_184,SFS,NA,-28.914583,28.436222,Active,Y,2018
SFS_187,SFS,NA,-29.68059,29.993993,Active,Y,2018
SFS_191,SFS,NA,-23.81333333,27.07541667,Active,Y,2018
SFS_196,SFS,NA,-29.337918,29.724161,Active,Y,2018
SFS_200,SFS,NA,-31.298299,29.930111,Active,Y,2018
SFS_201,SFS,NA,-26.61944444,31.73611111,Active,Y,2018
SFS_204,SFS,NA,-25.97018,27.64206,Active,Y,2018
SFS_205,SFS,NA,-24.53749444,30.90655278,Active,Y,2018
